"","test","group","yint","gender_male","age1","age2","education","Android Smartphone","iPad","iPhone","Macintosh","reg_sd","min","max","flip"
"1","SRT","adult","278.35030030247","-14.5243584464856","8.87918650426908","0.19346473365239","-0.838339930485347","70.8287125331651","35.5958794212246","28.5162360037411","-7.43599148483423","61.3443469315157","200",NA,"TRUE"
"2","SRT","adult","298.881067710041","-19.505858731053","12.7660445249973","-0.371919568628941","-3.29971160210878",NA,NA,NA,NA,"66.7919145627353","200",NA,"TRUE"
"3","SRT","adolescent","430.758754159508","-14.0209004240433","-17.8347837023922","0.540953145036897",NA,"59.2268186417132","28.2019679546037","22.2106869792715","-2.4416456219811","46.2126934600292","200",NA,"TRUE"
"4","SRT","adolescent","459.060327340669","-15.0444323004489","-20.4031279997792","0.636225370424469",NA,NA,NA,NA,NA,"50.9947187331877","200",NA,"TRUE"
"5","CRT.RT","adult","930.428937228476","-66.3632543684059","-27.6125373171658","13.01966877205","-12.6543245013228","93.711164082693","-2.66307203580851","40.6880600067869","-37.1220126911956","261.078898868043","500",NA,"TRUE"
"6","CRT.RT","adult","963.096049266924","-70.2055250325336","-26.9002858206834","12.6159409269473","-16.7169180481126",NA,NA,NA,NA,"263.92195824357","500",NA,"TRUE"
"7","CRT.RT","adolescent","1532.07339024308","-35.8100822894006","-78.8840403598349","2.21751507208743",NA,"138.737215992804","27.1931364482322","33.953530622218","-16.7683134768264","237.641459855031","500",NA,"TRUE"
"8","CRT.RT","adolescent","1489.84799195841","-32.401093620213","-72.2393279270211","2.06509324742805",NA,NA,NA,NA,NA,"243.535281996026","500",NA,"TRUE"
"9","CRT.ACC","adult","0.8798818467243","-0.00462093154649912","0.025822079742266","-0.00291834993583496","0.00670901834893141","0.00768557378530813","0.00436652684376416","0.0120519626719723","-0.000782207837524684","0.111177826106608","0.5","1","FALSE"
"10","CRT.ACC","adult","0.883020762258338","-0.00549188592152744","0.0265379205027591","-0.0030276782036675","0.00640597471653024",NA,NA,NA,NA,"0.111236627058556","0.5","1","FALSE"
"11","CRT.ACC","adolescent","0.625917431320076","-0.0143162714808534","0.0310006654549061","-0.000783861689935247",NA,"0.000717408408139965","0.030836122575616","0.0153667340952416","0.0073482398440181","0.134531605105247","0.5","1","FALSE"
"12","CRT.ACC","adolescent","0.627949400273074","-0.0161572049986322","0.0314281959857144","-0.000800149241145495",NA,NA,NA,NA,NA,"0.13468556615307","0.5","1","FALSE"
"13","BDS","adult","4.84173660290517","0.125597321671602","0.126159125666336","-0.0332327390154167","0.177023309918637","-0.325048518688412","-0.165820331574515","-0.231218039391591","-0.194530061257533","1.84763851172172","2","11","FALSE"
"14","BDS","adult","4.7051210931399","0.163285135153879","0.120040208670637","-0.0321045829321341","0.184396796082795",NA,NA,NA,NA,"1.85084589877806","2","11","FALSE"
"15","BDS","adolescent","2.51684185571524","0.0194698535068533","0.193757038790969","-0.0021965516983375",NA,"0.130590397281129","0.394973315692204","-0.104968728305214","-0.0211306463936896","1.88910295726458","2","11","FALSE"
"16","BDS","adolescent","2.71561195008825","0.018932780736937","0.173088129756448","-0.00161920214341585",NA,NA,NA,NA,NA,"1.88965881663986","2","11","FALSE"
"17","FDS","adult","5.72806448020458","0.0775651094639036","0.280015390731497","-0.0484446794953914","0.158931474595808","-0.290849665672238","-0.0524026506917244","-0.129547682531782","0.118177142087087","1.60476708647603","2","11","FALSE"
"18","FDS","adult","5.61728620895917","0.0893045799975112","0.259666267090892","-0.0448331449230843","0.174295369698607",NA,NA,NA,NA,"1.60961084202707","2","11","FALSE"
"19","FDS","adolescent","0.867522291163002","0.104860829964542","0.497340983869021","-0.0113883842648879",NA,"0.125449303735647","0.431813101289601","0.255300741951966","0.107450439394195","1.66724940275416","2","11","FALSE"
"20","FDS","adolescent","1.14811164445415","0.0852226741137495","0.473972777937494","-0.010664670152889",NA,NA,NA,NA,NA,"1.66988173725555","2","11","FALSE"
"21","DSM.score","adult","60.3684825614241","0.810353848414916","-2.65752650980557","-0.128986654725565","0.644954783869925","-8.31482127585237","-3.68552851266457","-7.24917821594649","1.03959659671722","12.3392735488247","2",NA,"FALSE"
"22","DSM.score","adult","57.2322723008833","1.72125940027559","-3.37876113692702","-0.0209465185397053","0.992174270572158",NA,NA,NA,NA,"12.8637561602548","2",NA,"FALSE"
